what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339803315287
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339803315288
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1339803315303
os,sysinfo,,,"macosx",1339803315311
arch,sysinfo,,,"x86_64",1339803315311
ws,sysinfo,,,"cocoa",1339803315311
locale,sysinfo,,,"en_US",1339803315311
processors,sysinfo,,,"2",1339803315311
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339803315311
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1339803315311
java.specification.name,sysinfo,,,"Java Platform API Specification",1339803315311
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339803315311
java.specification.version,sysinfo,,,"1.6",1339803315311
java.vendor,sysinfo,,,"Apple Inc.",1339803315311
java.version,sysinfo,,,"1.6.0_29",1339803315311
java.vm.info,sysinfo,,,"mixed mode",1339803315311
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1339803315311
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339803315311
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339803315311
java.vm.specification.version,sysinfo,,,"1.0",1339803315311
java.vm.vendor,sysinfo,,,"Apple Inc.",1339803315311
java.vm.version,sysinfo,,,"20.4-b02-402",1339803315311
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1339803315323
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1339803315674
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1339803315993
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1339803316019
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1339803316036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339803323938
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339803334277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339803353188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1339803353235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1339803353235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339803355537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339803357337
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339803357496
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339803359279
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1339803359282
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1339803359433
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1339803359447
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1339803359479
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1339803359481
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1339803359483
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1339803359485
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1339803359486
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1339803359486
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339803359536
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1339803359557
